	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
PWY-5883	CPD-674	BENZOATE	CPD-9949	CPD-9950	Acceptor	Donor-H2	CPD-9953	PROTON																			
PWY-5885	Long-Chain-Aldehydes	Long-Chain-Acyl-CoAs	CO-A	NADH	NAD	PROTON	Long-chain-alcohols	LC-alcohol-LC-acyl-ester																			
PWY-5905	EIF5A-LYSINE	N-4-aminobutylidene-eIF5A-lysine	NAD	CPD-14378	N-4-aminobutylidene-enzyme-lysine	PROTON	CPD-9973	EIF5A-HYPUSINE																			
PWY-5936	CPD-12575	1-4-beta-D-Glucan	GXGG-Xyloglucans	Xyloglucans-Xylose	Xyloglucans-Galactose-3	Xyloglucans-Galactose-23	XLFG-Xyloglucans																				
PWY-5987	OXYGEN-MOLECULE	CPD-10255	CPD-10256	CPD-10257	CPD-10258	PROTON	CPD-10269	CPD-10254	WATER																		
PWY-601	OXYGEN-MOLECULE	CPD-12386	CPD-12387	CPD-12388	CPD-7547	CPD-1861	CPD-1862	CPD-1863	CPD-19470	1-METHOXY-3-INDOLYLMETHYL-GLUCOSINOLATE																	
PWY-6039	P-COUMAROYL-COA	4-COUMAROYLQUINATE	CAFFEOYLQUINATE	QUINATE	CO-A	SHIKIMATE	CPD-412	CAFFEOYLSHIKIMATE	CAFFEOYL-COA																		
PWY-6051	CPD-9138	Acceptor	Donor-H2	CPD-10453	CPD-10457	CPD-10455	PROTON	CPD-10450	CPD-10452																		
PWY-6066	WATER	CO-A	CPD-10508	CPD-10516	CPD-10517	CPD-10518	CPD-10519	INDOLE_ACETATE_AUXIN																			
PWY-6121	ATP	5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	GLT	WATER	5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	Pi																				
PWY-6268	COB-I-ALAMIN	CPD-1829	CPD-20904	Oxidized-Flavoproteins	Reduced-Flavoproteins	CPD-20905	B12-Corrinoid-Adenosyltranferase	ADENOSYLCOBALAMIN																			
PWY-6310	MALONYL-COA	CPD-11554	CPD-11566	CPD-6801	PROTON	CPD-11553	CPD-11557																				
PWY-6326	OXYGEN-MOLECULE	WATER	CPD-11775	CPD-21263	CPD-15042	CPD-15043	CPD-11776																				
PWY-6401	CPD-12575	CPD-7391	CPD-17478	CPD-17479	HYDROGEN-PEROXIDE	CPD-12032	CPD-12033	CPD-12037																			
PWY-6433	CPD-15369	NADPH	NADP	PROTON	CPD-15363	CPD-17404	CPD-17400	CPD-17399																			
PWY-6438	PROTON	CPD-12184	CPD-12208	CPD-12207	CPD-12205	CPD-12202	CPD-12203	CPD-12201	CPD-12209																		
PWY-6453	OLEOYL-COA	CPD-17370	CPD-17372	CPD-17373	CPD-17375	CPD-17374	CPD-12262																				
PWY-6525	CPD-14553	CPD-458	CPD-1099	CPD-12462	SUCROSE	MYO-INOSITOL	PROTON																				
PWY-6540	FARNESYL-PP	CPD-9006	CPD-9411	CPD-9412	CPD-9413	CPD-21665	CPD-21663																				
PWY-6553	1-3-7-TRIMETHYLXANTHINE	CPD-12480	CPD-12505	CPD-12506	Methylated-methyl-acceptors	Demethylated-methyl-acceptors	CPD-12507																				
PWY-6575	OXYGEN-MOLECULE	WATER	CPD-12587	2-TRANS6-TRANS-FARNESOL	2-TRANS6-TRANS-FARNESAL	CPD-12585	CPD-12586	CPD-8838																			
PWY-6663	FERROCYTOCHROME-B5	CPD-12916	CPD-12918	CPD-12919	CPD-12920	NADP	DESMOSTEROL-CPD	NADPH	CPD-12850	CPD-12852	PROTON	CPD-12917	CPD-12927	CPD-12928	CPD-12929	5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL	CPD-8646										
PWY-6724	WATER	6-Phosphogluco-Amylopectins	6-Phosphoglc-3-Phosphoglc-Amylopectins	CPD-13198	Branched-Unphos-Amylopectin-Tails	Linear-Malto-Oligosaccharides	MALTOSE																				
PWY-6733	LAUROYLCOA-CPD	DODECANOATE	WATER	STEARIC_ACID	CPD-17640	CPD-17641	CO-A	CPD-17370	NADP	NADPH	CPD-17644																
PWY-6823	S-ADENOSYLMETHIONINE	CPD-19179	PRECURSOR-Z	CPD-4	CPD-8122	WATER	MPT-Synthase-small-subunits	Carboxyadenylated-MPT-synthases	Cysteine-Desulfurase-L-cysteine	L-Cysteine-Desulfurase-persulfide	Thiocarboxylated-MPT-synthases	PROTON	PPI														
PWY-6927	CHLOROPHYLL-A	CPD-8155	CPD-7061	WATER	PROTON	Oxidized-ferredoxins	Reduced-ferredoxins	CPD-18666	CPD-7063																		
PWY-6935	S-ADENOSYLMETHIONINE	CPD-12025	CPD-13719	CPD-13720	CPD-13770	PROTON	CARBON-DIOXIDE																				
PWY-6958	MALONYL-COA	CPD-17262	CPD-17263	CPD-17264	CPD-14394	CPD-17281	CPD-17282																				
PWY-6960	HYDROGEN-PEROXIDE	ASCORBATE	L-DEHYDRO-ASCORBATE	CPD-13914	CPD-13910	CPD-13911	PROTON	WATER	L-THREONATE	TARTRATE																	
PWY-699	OXYGEN-MOLECULE	CPD-711	CPD-713	CPD-714	CPD-716	Donor-H2	Acceptor	CPD-717	CPD-17422	CPD-718																	
